last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2018-04-25 00:00:00,7,good,2438,good,0,good,7,good,
2018-12-14 00:00:00,9,good,2087,good,32,good,8,good,
2018-09-03 00:00:00,5,good,23,good,5,good,4,good,
2018-07-05 00:00:00,10,good,337,good,0,good,9,good,
2018-01-25 00:00:00,24,moderate,63,good,8,good,22,unhealthy-low,
2018-11-14 00:00:00,26,moderate,210,good,0,good,25,unhealthy,
2018-02-05 00:00:00,18,moderate,0,good,0,good,16,unhealthy-low,
2018-09-19 00:00:00,10,good,117,good,1,good,8,good,
2018-05-17 00:00:00,10,good,375,good,5,good,9,good,
2018-07-12 00:00:00,17,moderate,262,good,4,good,15,unhealthy-low,
2018-01-24 00:00:00,22,moderate,68,good,8,good,20,unhealthy-low,
2019-06-13 00:00:00,9,good,654,good,0,good,8,good,
2018-03-15 00:00:00,14,good,584,good,6,good,12,moderate,
2018-01-12 00:00:00,4,good,59,good,5,good,3,good,
2018-11-14 00:00:00,0,good,6538,unhealthy-low,0,good,0,good,
2018-09-18 00:00:00,34,unhealthy-low,330,good,10,good,31,unhealthy,
2018-09-19 00:00:00,17,moderate,125,good,12,good,13,moderate,
2018-09-19 00:00:00,20,moderate,104,good,6,good,16,unhealthy-low,
2018-08-02 00:00:00,25,moderate,192,good,2,good,23,unhealthy-low,
2018-02-14 00:00:00,23,moderate,277,good,14,good,20,unhealthy-low,
2018-05-07 00:00:00,25,moderate,256,good,4,good,23,unhealthy-low,
2018-12-14 00:00:00,21,moderate,945,good,8,good,19,unhealthy-low,
2019-06-09 00:00:00,6,good,371,good,6,good,6,good,
2018-02-23 00:00:00,38,unhealthy-low,47,good,1,good,31,unhealthy,
2019-01-25 00:00:00,57,unhealthy,458,good,13,good,49,unhealthy-high,
2018-01-24 00:00:00,15,moderate,117,good,6,good,14,moderate,
2018-01-24 00:00:00,25,moderate,35,good,9,good,23,unhealthy-low,
2018-01-24 00:00:00,27,moderate,127,good,8,good,24,unhealthy-low,
2019-06-10 00:00:00,3,good,476,good,0,good,3,good,
2018-12-15 00:00:00,132,unhealthy-high,12860,unhealthy,0,good,78,unhealthy-high,
2018-01-31 00:00:00,16,moderate,124,good,1,good,14,moderate,
2019-06-10 00:00:00,3,good,601,good,0,good,1,good,
2018-12-14 00:00:00,155,unhealthy-high,9544,unhealthy-low,582,unhealthy-high,4179,unhealthy-high,
2018-12-16 00:00:00,9,good,351,good,0,good,8,good,
2019-06-10 00:00:00,16,moderate,419,good,9,good,15,unhealthy-low,
2019-06-10 00:00:00,35,unhealthy-low,4029,moderate,2,good,20,unhealthy-low,
2018-12-13 00:00:00,155,unhealthy-high,18773,unhealthy-high,0,good,83,unhealthy-high,
2018-11-14 00:00:00,0,good,6583,unhealthy-low,0,good,0,good,
2018-09-11 00:00:00,27,moderate,830,good,13,good,24,unhealthy-low,
2018-04-27 00:00:00,22,moderate,168,good,8,good,18,unhealthy-low,
2019-06-10 00:00:00,2,good,3492,moderate,0,good,2,good,
2018-11-10 00:00:00,1,good,6670,unhealthy-low,0,good,1,good,
2018-04-26 00:00:00,27,moderate,60,good,1,good,25,unhealthy,
2018-09-18 00:00:00,37,unhealthy-low,427,good,18,good,31,unhealthy,
2018-01-24 00:00:00,21,moderate,60,good,3,good,19,unhealthy-low,
2018-01-24 00:00:00,18,moderate,40,good,7,good,16,unhealthy-low,
2018-09-18 00:00:00,12,good,0,good,1,good,9,good,
2018-02-08 00:00:00,10,good,292,good,7,good,9,good,
2018-11-06 00:00:00,23,moderate,53,good,9,good,19,unhealthy-low,
2019-06-13 00:00:00,7,good,472,good,0,good,7,good,
2018-11-06 00:00:00,50,unhealthy,246,good,8,good,42,unhealthy-high,
2018-01-12 00:00:00,7,good,97,good,3,good,6,good,
2018-09-11 00:00:00,12,good,27,good,4,good,11,moderate,
2018-06-20 00:00:00,8,good,137,good,2,good,7,good,
2018-11-06 00:00:00,27,moderate,196,good,12,good,22,unhealthy-low,
2018-05-07 00:00:00,1,good,2777,good,0,good,1,good,
2018-04-27 00:00:00,19,moderate,168,good,10,good,16,unhealthy-low,
2019-02-04 00:00:00,2,good,0,good,11,good,2,good,
2019-02-04 00:00:00,2,good,0,good,11,good,2,good,
2018-11-14 00:00:00,10,good,2189,good,0,good,8,good,
2019-06-10 00:00:00,39,unhealthy-low,770,good,0,good,33,unhealthy,
